chunk_id,phase,family,seeds,relevance,conditions,common_decoder,expected_source_rows
A023,ablation,no_null,"30066,30067,30068,30069,30070,30071",neutral,no_null,0,6
A024,ablation,no_bridge_validation,"30000,30001,30002,30003,30004,30005",neutral,no_bridge_validation,0,6
A025,ablation,no_bridge_validation,"30006,30007,30008,30009,30010,30011",neutral,no_bridge_validation,0,6
A026,ablation,no_bridge_validation,"30012,30013,30014,30015,30016,30017",neutral,no_bridge_validation,0,6
A027,ablation,no_bridge_validation,"30018,30019,30020,30021,30022,30023",neutral,no_bridge_validation,0,6
A028,ablation,no_bridge_validation,"30024,30025,30026,30027,30028,30029",neutral,no_bridge_validation,0,6
A029,ablation,no_bridge_validation,"30030,30031,30032,30033,30034,30035",neutral,no_bridge_validation,0,6
A030,ablation,no_bridge_validation,"30036,30037,30038,30039,30040,30041",neutral,no_bridge_validation,0,6
A031,ablation,no_bridge_validation,"30042,30043,30044,30045,30046,30047",neutral,no_bridge_validation,0,6
A032,ablation,no_bridge_validation,"30048,30049,30050,30051,30052,30053",neutral,no_bridge_validation,0,6
A033,ablation,no_bridge_validation,"30054,30055,30056,30057,30058,30059",neutral,no_bridge_validation,0,6
A034,ablation,no_bridge_validation,"30060,30061,30062,30063,30064,30065",neutral,no_bridge_validation,0,6
A035,ablation,no_bridge_validation,"30066,30067,30068,30069,30070,30071",neutral,no_bridge_validation,0,6
A036,ablation,no_null_no_validation,"30000,30001,30002,30003,30004,30005",neutral,no_null_no_validation,0,6
A037,ablation,no_null_no_validation,"30006,30007,30008,30009,30010,30011",neutral,no_null_no_validation,0,6
A038,ablation,no_null_no_validation,"30012,30013,30014,30015,30016,30017",neutral,no_null_no_validation,0,6
A039,ablation,no_null_no_validation,"30018,30019,30020,30021,30022,30023",neutral,no_null_no_validation,0,6
A040,ablation,no_null_no_validation,"30024,30025,30026,30027,30028,30029",neutral,no_null_no_validation,0,6
A041,ablation,no_null_no_validation,"30030,30031,30032,30033,30034,30035",neutral,no_null_no_validation,0,6
A042,ablation,no_null_no_validation,"30036,30037,30038,30039,30040,30041",neutral,no_null_no_validation,0,6
A043,ablation,no_null_no_validation,"30042,30043,30044,30045,30046,30047",neutral,no_null_no_validation,0,6
A044,ablation,no_null_no_validation,"30048,30049,30050,30051,30052,30053",neutral,no_null_no_validation,0,6
A045,ablation,no_null_no_validation,"30054,30055,30056,30057,30058,30059",neutral,no_null_no_validation,0,6
A046,ablation,no_null_no_validation,"30060,30061,30062,30063,30064,30065",neutral,no_null_no_validation,0,6
A047,ablation,no_null_no_validation,"30066,30067,30068,30069,30070,30071",neutral,no_null_no_validation,0,6
A048,ablation,passive_only,"30000,30001,30002,30003,30004,30005",self_relevant,passive_only,0,6
A049,ablation,passive_only,"30006,30007,30008,30009,30010,30011",self_relevant,passive_only,0,6
A050,ablation,passive_only,"30012,30013,30014,30015,30016,30017",self_relevant,passive_only,0,6
A051,ablation,passive_only,"30018,30019,30020,30021,30022,30023",self_relevant,passive_only,0,6
A052,ablation,passive_only,"30024,30025,30026,30027,30028,30029",self_relevant,passive_only,0,6
A053,ablation,passive_only,"30030,30031,30032,30033,30034,30035",self_relevant,passive_only,0,6
A054,ablation,passive_only,"30036,30037,30038,30039,30040,30041",self_relevant,passive_only,0,6
A055,ablation,passive_only,"30042,30043,30044,30045,30046,30047",self_relevant,passive_only,0,6
A056,ablation,passive_only,"30048,30049,30050,30051,30052,30053",self_relevant,passive_only,0,6
A057,ablation,passive_only,"30054,30055,30056,30057,30058,30059",self_relevant,passive_only,0,6
A058,ablation,passive_only,"30060,30061,30062,30063,30064,30065",self_relevant,passive_only,0,6
A059,ablation,passive_only,"30066,30067,30068,30069,30070,30071",self_relevant,passive_only,0,6
A060,ablation,pair_limited,"30000,30001,30002,30003,30004,30005",self_relevant,pair_limited,0,6
A061,ablation,pair_limited,"30006,30007,30008,30009,30010,30011",self_relevant,pair_limited,0,6
A062,ablation,pair_limited,"30012,30013,30014,30015,30016,30017",self_relevant,pair_limited,0,6
A063,ablation,pair_limited,"30018,30019,30020,30021,30022,30023",self_relevant,pair_limited,0,6
A064,ablation,pair_limited,"30024,30025,30026,30027,30028,30029",self_relevant,pair_limited,0,6
A065,ablation,pair_limited,"30030,30031,30032,30033,30034,30035",self_relevant,pair_limited,0,6
A066,ablation,pair_limited,"30036,30037,30038,30039,30040,30041",self_relevant,pair_limited,0,6
A067,ablation,pair_limited,"30042,30043,30044,30045,30046,30047",self_relevant,pair_limited,0,6
A068,ablation,pair_limited,"30048,30049,30050,30051,30052,30053",self_relevant,pair_limited,0,6
A069,ablation,pair_limited,"30054,30055,30056,30057,30058,30059",self_relevant,pair_limited,0,6
A070,ablation,pair_limited,"30060,30061,30062,30063,30064,30065",self_relevant,pair_limited,0,6
A071,ablation,pair_limited,"30066,30067,30068,30069,30070,30071",self_relevant,pair_limited,0,6
